Table Name,Sort,Variable Name,Variable Description,Variable Type,Variable Width,Decimal Places,Source,Variable Description (Simplified),Select Column? (y/n),Variable-Catg,Variable-Sub-Catg
ACS1418_01,27,RELPRVPRE,2018 Pop 3+ Enrolled in Nursery/Preschool: Private REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Nursery/Preschool: Private REL,,Pop 3+ Enrolled in Nursery/Preschool,Private REL
ACS1418_01,28,ACSKIND,2018 Pop 3+ Enrolled in Kindergarten (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Kindergarten,,Pop 3+ Enrolled in Kindergarten,
ACS1418_01,29,MOEKIND,2018 Pop 3+ Enrolled in Kindergarten MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Kindergarten MOE,,Pop 3+ Enrolled in Kindergarten MOE,
ACS1418_01,30,RELKIND,2018 Pop 3+ Enrolled in Kindergarten REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Kindergarten REL,,Pop 3+ Enrolled in Kindergarten REL,
ACS1418_01,31,ACSPUBKIND,2018 Pop 3+ Enrolled in Kindergarten: Public (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Kindergarten: Public,,Pop 3+ Enrolled in Kindergarten,Public
ACS1418_01,32,MOEPUBKIND,2018 Pop 3+ Enrolled in Kindergarten: Public MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Kindergarten: Public MOE,,Pop 3+ Enrolled in Kindergarten,Public MOE
ACS1418_01,33,RELPUBKIND,2018 Pop 3+ Enrolled in Kindergarten: Public REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Kindergarten: Public REL,,Pop 3+ Enrolled in Kindergarten,Public REL
ACS1418_01,34,ACSPRVKIND,2018 Pop 3+ Enrolled in Kindergarten: Private (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Kindergarten: Private,,Pop 3+ Enrolled in Kindergarten,Private
ACS1418_01,35,MOEPRVKIND,2018 Pop 3+ Enrolled in Kindergarten: Private MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Kindergarten: Private MOE,,Pop 3+ Enrolled in Kindergarten,Private MOE
ACS1418_01,36,RELPRVKIND,2018 Pop 3+ Enrolled in Kindergarten: Private REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Kindergarten: Private REL,,Pop 3+ Enrolled in Kindergarten,Private REL
ACS1418_01,37,ACSGRD1,2018 Pop 3+ Enrolled in Grade 1-4 (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 1-4,,Pop 3+ Enrolled in Grade 1-4,
ACS1418_01,38,MOEGRD1,2018 Pop 3+ Enrolled in Grade 1-4 MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 1-4 MOE,,Pop 3+ Enrolled in Grade 1-4 MOE,
ACS1418_01,39,RELGRD1,2018 Pop 3+ Enrolled in Grade 1-4 REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 1-4 REL,,Pop 3+ Enrolled in Grade 1-4 REL,
ACS1418_01,40,ACSPUBGRD1,2018 Pop 3+ Enrolled in Grade 1-4: Public (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 1-4: Public,,Pop 3+ Enrolled in Grade 1-4,Public
ACS1418_01,41,MOEPUBGRD1,2018 Pop 3+ Enrolled in Grade 1-4: Public MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 1-4: Public MOE,,Pop 3+ Enrolled in Grade 1-4,Public MOE
ACS1418_01,42,RELPUBGRD1,2018 Pop 3+ Enrolled in Grade 1-4: Public REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 1-4: Public REL,,Pop 3+ Enrolled in Grade 1-4,Public REL
ACS1418_01,43,ACSPRVGRD1,2018 Pop 3+ Enrolled in Grade 1-4: Private (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 1-4: Private,,Pop 3+ Enrolled in Grade 1-4,Private
ACS1418_01,44,MOEPRVGRD1,2018 Pop 3+ Enrolled in Grade 1-4: Private MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 1-4: Private MOE,,Pop 3+ Enrolled in Grade 1-4,Private MOE
ACS1418_01,45,RELPRVGRD1,2018 Pop 3+ Enrolled in Grade 1-4: Private REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 1-4: Private REL,,Pop 3+ Enrolled in Grade 1-4,Private REL
ACS1418_01,46,ACSGRD5,2018 Pop 3+ Enrolled in Grade 5-8 (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 5-8,,Pop 3+ Enrolled in Grade 5-8,
ACS1418_01,47,MOEGRD5,2018 Pop 3+ Enrolled in Grade 5-8 MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 5-8 MOE,,Pop 3+ Enrolled in Grade 5-8 MOE,
ACS1418_01,48,RELGRD5,2018 Pop 3+ Enrolled in Grade 5-8 REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 5-8 REL,,Pop 3+ Enrolled in Grade 5-8 REL,
ACS1418_01,49,ACSPUBGRD5,2018 Pop 3+ Enrolled in Grade 5-8: Public (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 5-8: Public,,Pop 3+ Enrolled in Grade 5-8,Public
ACS1418_01,50,MOEPUBGRD5,2018 Pop 3+ Enrolled in Grade 5-8: Public MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 5-8: Public MOE,,Pop 3+ Enrolled in Grade 5-8,Public MOE
ACS1418_01,51,RELPUBGRD5,2018 Pop 3+ Enrolled in Grade 5-8: Public REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 5-8: Public REL,,Pop 3+ Enrolled in Grade 5-8,Public REL
ACS1418_01,52,ACSPRVGRD5,2018 Pop 3+ Enrolled in Grade 5-8: Private (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 5-8: Private,,Pop 3+ Enrolled in Grade 5-8,Private
ACS1418_01,53,MOEPRVGRD5,2018 Pop 3+ Enrolled in Grade 5-8: Private MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 5-8: Private MOE,,Pop 3+ Enrolled in Grade 5-8,Private MOE
ACS1418_01,54,RELPRVGRD5,2018 Pop 3+ Enrolled in Grade 5-8: Private REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 5-8: Private REL,,Pop 3+ Enrolled in Grade 5-8,Private REL
ACS1418_01,55,ACSGRD9,2018 Pop 3+ Enrolled in Grade 9-12 (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 9-12,,Pop 3+ Enrolled in Grade 9-12,
ACS1418_01,56,MOEGRD9,2018 Pop 3+ Enrolled in Grade 9-12 MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 9-12 MOE,,Pop 3+ Enrolled in Grade 9-12 MOE,
ACS1418_01,57,RELGRD9,2018 Pop 3+ Enrolled in Grade 9-12 REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 9-12 REL,,Pop 3+ Enrolled in Grade 9-12 REL,
ACS1418_01,58,ACSPUBGRD9,2018 Pop 3+ Enrolled in Grade 9-12: Public (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 9-12: Public,,Pop 3+ Enrolled in Grade 9-12,Public
ACS1418_01,59,MOEPUBGRD9,2018 Pop 3+ Enrolled in Grade 9-12: Public MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 9-12: Public MOE,,Pop 3+ Enrolled in Grade 9-12,Public MOE
ACS1418_01,60,RELPUBGRD9,2018 Pop 3+ Enrolled in Grade 9-12: Public REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 9-12: Public REL,,Pop 3+ Enrolled in Grade 9-12,Public REL
ACS1418_01,61,ACSPRVGRD9,2018 Pop 3+ Enrolled in Grade 9-12: Private (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grade 9-12: Private,,Pop 3+ Enrolled in Grade 9-12,Private
ACS1418_01,62,MOEPRVGRD9,2018 Pop 3+ Enrolled in Grade 9-12: Private MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grade 9-12: Private MOE,,Pop 3+ Enrolled in Grade 9-12,Private MOE
ACS1418_01,63,RELPRVGRD9,2018 Pop 3+ Enrolled in Grade 9-12: Private REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grade 9-12: Private REL,,Pop 3+ Enrolled in Grade 9-12,Private REL
ACS1418_01,64,ACSCOLLEGE,2018 Pop 3+ Enrolled in College (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in College,,Pop 3+ Enrolled in College,
ACS1418_01,65,MOECOLLEGE,2018 Pop 3+ Enrolled in College MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in College MOE,,Pop 3+ Enrolled in College MOE,
ACS1418_01,66,RELCOLLEGE,2018 Pop 3+ Enrolled in College REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in College REL,,Pop 3+ Enrolled in College REL,
ACS1418_01,67,ACSPUBCOLL,2018 Pop 3+ Enrolled in College: Public (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in College: Public,,Pop 3+ Enrolled in College,Public
ACS1418_01,68,MOEPUBCOLL,2018 Pop 3+ Enrolled in College: Public MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in College: Public MOE,,Pop 3+ Enrolled in College,Public MOE
ACS1418_01,69,RELPUBCOLL,2018 Pop 3+ Enrolled in College: Public REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in College: Public REL,,Pop 3+ Enrolled in College,Public REL
ACS1418_01,70,ACSPRVCOLL,2018 Pop 3+ Enrolled in College: Private (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in College: Private,,Pop 3+ Enrolled in College,Private
ACS1418_01,71,MOEPRVCOLL,2018 Pop 3+ Enrolled in College: Private MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in College: Private MOE,,Pop 3+ Enrolled in College,Private MOE
ACS1418_01,72,RELPRVCOLL,2018 Pop 3+ Enrolled in College: Private REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in College: Private REL,,Pop 3+ Enrolled in College,Private REL
ACS1418_01,73,ACSGRAD,2018 Pop 3+ Enrolled in Grad/Professional School (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Grad/Professional School,,Pop 3+ Enrolled in Grad/Professional School,
ACS1418_01,74,MOEGRAD,2018 Pop 3+ Enrolled in Grad/Professional School MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Grad/Professional School MOE,,Pop 3+ Enrolled in Grad/Professional School MOE,
ACS1418_01,75,RELGRAD,2018 Pop 3+ Enrolled in Grad/Professional School REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Grad/Professional School REL,,Pop 3+ Enrolled in Grad/Professional School REL,
ACS1418_01,76,ACSPUBGRAD,2018 Pop 3+ Enrolled in Public Grad/Professional School (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Public Grad/Professional School,,Pop 3+ Enrolled in Public Grad/Professional School,
ACS1418_01,77,MOEPUBGRAD,2018 Pop 3+ Enrolled in Public Grad/Professional School MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Public Grad/Professional School MOE,,Pop 3+ Enrolled in Public Grad/Professional School MOE,
ACS1418_01,78,RELPUBGRAD,2018 Pop 3+ Enrolled in Public Grad/Professional School REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Public Grad/Professional School REL,,Pop 3+ Enrolled in Public Grad/Professional School REL,
ACS1418_01,79,ACSPRVGRAD,2018 Pop 3+ Enrolled in Private Grad/Professional School (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Private Grad/Professional School,,Pop 3+ Enrolled in Private Grad/Professional School,
ACS1418_01,80,MOEPRVGRAD,2018 Pop 3+ Enrolled in Private Grad/Professional School MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Private Grad/Professional School MOE,,Pop 3+ Enrolled in Private Grad/Professional School MOE,
ACS1418_01,81,RELPRVGRAD,2018 Pop 3+ Enrolled in Private Grad/Professional School REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Private Grad/Professional School REL,,Pop 3+ Enrolled in Private Grad/Professional School REL,
ACS1418_01,82,ACSNOTNSCH,2018 Pop 3+ Not Enrolled in School (ACS 5-Yr),N,9,0,ACS,Pop 3+ Not Enrolled in School,,Pop 3+ Not Enrolled in School,
ACS1418_01,83,MOENOTNSCH,2018 Pop 3+ Not Enrolled in School MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Not Enrolled in School MOE,,Pop 3+ Not Enrolled in School MOE,
ACS1418_01,84,RELNOTNSCH,2018 Pop 3+ Not Enrolled in School REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Not Enrolled in School REL,,Pop 3+ Not Enrolled in School REL,
ACS1418_01,85,ACSLANGBAS,2018 Population Age 5+ by Language Spoken at Home Base (ACS 5-Yr),N,9,0,ACS,Population Age 5+ by Language Spoken at Home Base,,Population Age 5+ by Language Spoken at Home Base,
ACS1418_01,86,MOELANGBAS,2018 Population Age 5+ by Language Spoken at Home Base MOE (ACS 5-Yr),N,9,0,MOE,Population Age 5+ by Language Spoken at Home Base MOE,,Population Age 5+ by Language Spoken at Home Base MOE,
ACS1418_01,87,RELLANGBAS,2018 Population Age 5+ by Language Spoken at Home Base REL (ACS 5-Yr),N,1,0,REL,Population Age 5+ by Language Spoken at Home Base REL,,Population Age 5+ by Language Spoken at Home Base REL,
ACS1418_01,88,ACSENGA5,2018 Pop 5-17 speak only English (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak only English,,Pop 5-17 speak only English,
ACS1418_01,89,MOEENGA5,2018 Pop 5-17 speak only English MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak only English MOE,,Pop 5-17 speak only English MOE,
ACS1418_01,90,RELENGA5,2018 Pop 5-17 speak only English REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak only English REL,,Pop 5-17 speak only English REL,
ACS1418_01,91,ACSSPA5,2018 Pop 5-17 speak Spanish (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Spanish,,Pop 5-17 speak Spanish,
ACS1418_01,92,MOESPA5,2018 Pop 5-17 speak Spanish MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Spanish MOE,,Pop 5-17 speak Spanish MOE,
ACS1418_01,93,RELSPA5,2018 Pop 5-17 speak Spanish REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Spanish REL,,Pop 5-17 speak Spanish REL,
ACS1418_01,94,ACSSPWA5,2018 Pop 5-17 speak Spanish & English Very Well/Well (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Spanish & English Very Well/Well,,Pop 5-17 speak Spanish & English Very Well/Well,
ACS1418_01,95,MOESPWA5,2018 Pop 5-17 speak Spanish & English Very Well/Well MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Spanish & English Very Well/Well MOE,,Pop 5-17 speak Spanish & English Very Well/Well MOE,
ACS1418_01,96,RELSPWA5,2018 Pop 5-17 speak Spanish & English Very Well/Well REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Spanish & English Very Well/Well REL,,Pop 5-17 speak Spanish & English Very Well/Well REL,
ACS1418_01,97,ACSSPNWA5,2018 Pop 5-17 speak Spanish & English Not Well (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Spanish & English Not Well,,Pop 5-17 speak Spanish & English Not Well,
ACS1418_01,98,MOESPNWA5,2018 Pop 5-17 speak Spanish & English Not Well MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Spanish & English Not Well MOE,,Pop 5-17 speak Spanish & English Not Well MOE,
ACS1418_01,99,RELSPNWA5,2018 Pop 5-17 speak Spanish & English Not Well REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Spanish & English Not Well REL,,Pop 5-17 speak Spanish & English Not Well REL,
ACS1418_01,100,ACSSPNOA5,2018 Pop 5-17 speak Spanish & No English (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Spanish & No English,,Pop 5-17 speak Spanish & No English,
ACS1418_01,101,MOESPNOA5,2018 Pop 5-17 speak Spanish & No English MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Spanish & No English MOE,,Pop 5-17 speak Spanish & No English MOE,
ACS1418_01,102,RELSPNOA5,2018 Pop 5-17 speak Spanish & No English REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Spanish & No English REL,,Pop 5-17 speak Spanish & No English REL,
ACS1418_01,103,ACSIEA5,2018 Pop 5-17 speak Other Indo-European Language (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Other Indo-European Language,,Pop 5-17 speak Other Indo-European Language,
ACS1418_01,104,MOEIEA5,2018 Pop 5-17 speak Other Indo-European Language MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Other Indo-European Language MOE,,Pop 5-17 speak Other Indo-European Language MOE,
ACS1418_01,105,RELIEA5,2018 Pop 5-17 speak Other Indo-European Language REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Other Indo-European Language REL,,Pop 5-17 speak Other Indo-European Language REL,
ACS1418_01,106,ACSIEWA5,2018 Pop 5-17 speak Indo-Eur & English Very Well/Well (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Indo-Eur & English Very Well/Well,,Pop 5-17 speak Indo-Eur & English Very Well/Well,
ACS1418_01,107,MOEIEWA5,2018 Pop 5-17 speak Indo-Eur & English Very Well/Well MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Indo-Eur & English Very Well/Well MOE,,Pop 5-17 speak Indo-Eur & English Very Well/Well MOE,
ACS1418_01,108,RELIEWA5,2018 Pop 5-17 speak Indo-Eur & English Very Well/Well REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Indo-Eur & English Very Well/Well REL,,Pop 5-17 speak Indo-Eur & English Very Well/Well REL,
ACS1418_01,109,ACSIENWA5,2018 Pop 5-17 speak Indo-Eur & English Not Well (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Indo-Eur & English Not Well,,Pop 5-17 speak Indo-Eur & English Not Well,
ACS1418_01,110,MOEIENWA5,2018 Pop 5-17 speak Indo-Eur & English Not Well MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Indo-Eur & English Not Well MOE,,Pop 5-17 speak Indo-Eur & English Not Well MOE,
ACS1418_01,111,RELIENWA5,2018 Pop 5-17 speak Indo-Eur & English Not Well REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Indo-Eur & English Not Well REL,,Pop 5-17 speak Indo-Eur & English Not Well REL,
ACS1418_01,112,ACSIENOA5,2018 Pop 5-17 speak Indo-European & No English (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Indo-European & No English,,Pop 5-17 speak Indo-European & No English,
ACS1418_01,113,MOEIENOA5,2018 Pop 5-17 speak Indo-European & No English MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Indo-European & No English MOE,,Pop 5-17 speak Indo-European & No English MOE,
ACS1418_01,114,RELIENOA5,2018 Pop 5-17 speak Indo-European & No English REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Indo-European & No English REL,,Pop 5-17 speak Indo-European & No English REL,
ACS1418_01,115,ACSAPIA5,2018 Pop 5-17 speak Asian-Pacific Isl Language (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Asian-Pacific Isl Language,,Pop 5-17 speak Asian-Pacific Isl Language,
ACS1418_01,116,MOEAPIA5,2018 Pop 5-17 speak Asian-Pacific Isl Language MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Asian-Pacific Isl Language MOE,,Pop 5-17 speak Asian-Pacific Isl Language MOE,
ACS1418_01,117,RELAPIA5,2018 Pop 5-17 speak Asian-Pacific Isl Language REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Asian-Pacific Isl Language REL,,Pop 5-17 speak Asian-Pacific Isl Language REL,
ACS1418_01,118,ACSAPWA5,2018 Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well,,Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well,
ACS1418_01,119,MOEAPWA5,2018 Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well MOE,,Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well MOE,
ACS1418_01,120,RELAPWA5,2018 Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well REL,,Pop 5-17 speak Asn-Pacific Isl & English Very Well/Well REL,
ACS1418_01,121,ACSAPNWA5,2018 Pop 5-17 speak Asn-Pacific Isl & English Not Well (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Asn-Pacific Isl & English Not Well,,Pop 5-17 speak Asn-Pacific Isl & English Not Well,
ACS1418_01,122,MOEAPNWA5,2018 Pop 5-17 speak Asn-Pacific Isl & English Not Well MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Asn-Pacific Isl & English Not Well MOE,,Pop 5-17 speak Asn-Pacific Isl & English Not Well MOE,
ACS1418_01,123,RELAPNWA5,2018 Pop 5-17 speak Asn-Pacific Isl & English Not Well REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Asn-Pacific Isl & English Not Well REL,,Pop 5-17 speak Asn-Pacific Isl & English Not Well REL,
ACS1418_01,124,ACSAPNOA5,2018 Pop 5-17 speak Asian-Pacific Isl & No English (ACS 5-Yr),N,9,0,ACS,Pop 5-17 speak Asian-Pacific Isl & No English,,Pop 5-17 speak Asian-Pacific Isl & No English,
ACS1418_01,125,MOEAPNOA5,2018 Pop 5-17 speak Asian-Pacific Isl & No English MOE (ACS 5-Yr),N,9,0,MOE,Pop 5-17 speak Asian-Pacific Isl & No English MOE,,Pop 5-17 speak Asian-Pacific Isl & No English MOE,
ACS1418_01,126,RELAPNOA5,2018 Pop 5-17 speak Asian-Pacific Isl & No English REL (ACS 5-Yr),N,1,0,REL,Pop 5-17 speak Asian-Pacific Isl & No English REL,,Pop 5-17 speak Asian-Pacific Isl & No English REL,
